AuthorID;PublicationID
10956;200152
10549;200565
10216;200710
10289;200884
10595;200531
10471;200548
10323;200631
10101;200889
10817;200173
10544;200369
10542;200744
10703;200869
10050;200462
10574;200253
10814;200041
10958;200806
10748;200651
10125;200619
10220;200837
10968;200914
10050;200887
10906;200355
10926;200646
10944;200594
10017;200808
10606;200388
10035;200328
10595;200381
10605;200504
10093;200575
10545;200170
10940;200692
10249;201000
10056;200236
10509;200306
10532;200219
10456;200269
10422;200985
10596;200466
10324;200033
10648;200819
10746;200842
10680;200278
10685;200912
10399;200543
10272;200256
10319;200025
10171;200991
10141;200272
10723;200450
10792;200623
10015;200871
10989;200162
10394;200540
10741;200352
10729;200854
10139;200340
10089;200841
10095;200793
10139;200020
10097;200537
10710;200981
10934;200585
10605;200679
10424;200959
10761;200129
10362;200147
10883;200965
10733;200999
10826;200117
10894;200341
10211;200651
10561;200199
10730;200591
10695;200897
10525;200839
10218;200646
10284;200655
10031;200289
10820;200600
10662;200933
10930;200118
10259;200739
10511;200872
10073;200590
10645;200503
10454;200152
10847;200172
10168;200674
10897;200222
10356;200326
10446;200867
10305;200050
10922;200376
10646;200295
10450;200888
10006;200011
10900;200747
10478;200661
10255;200819
10041;200416
10003;200784
10820;200366
10383;200814
10704;200409
10748;200607
10589;200128
10130;200012
10533;200460
10099;200712
10236;200211
10254;200361
10316;200135
10318;200985
10801;200257
10698;200768
10638;200322
10613;200471
10298;200326
10157;200469
10529;200043
10993;200859
10142;200803
10555;200019
10560;200360
10336;200468
10879;200864
10092;200417
10213;200297
10598;200115
10952;200207
10461;200587
10756;200444
10827;200883
10571;200961
10685;200395
10325;200235
10708;200876
10640;200613
10772;200021
10625;200765
10260;200394
10709;200971
10913;200048
10767;200701
10453;200824
10894;200413
10103;200321
10002;200621
10171;200561
10958;200303
10892;200233
10479;200541
10583;200074
10896;200925
10628;200007
10139;200743
10739;200063
10077;200098
10484;200103
10244;200610
10119;200732
10445;200779
10340;200426
10501;200996
10726;200498
10033;200476
10499;200163
10375;200889
10253;200579
10877;200961
10651;200993
10190;200129
10425;200963
10302;200129
10707;200150
10665;200571
10119;200109
10479;200905
10199;200159
10876;200899
10851;200531
10239;200159
10920;200701
10439;200902
10694;200103
10799;200966
10846;200777
10960;200938
10031;200173
10693;200822
10199;201000
10080;200539
10589;200186
10637;200619
10564;200668
10955;200735
10080;200055
10912;200905
10119;200098
10155;200268
10169;200053
10898;200497
10412;200937
10425;200654
10790;200325
10168;200500
10781;200906
10401;200542
10225;200010
10828;200272
10453;200807
10385;200369
10004;200052
10325;200917
10472;200372
10365;200950
10660;200909
10939;200419
10009;200995
10944;200722
10144;200257
10158;200578
10791;200799
10516;200331
10131;200737
10118;200103
